danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist(s),gender(of the atrist(s)),"type(solo, colab, grpup/band)",country,number_integrants,song_language,label,lat,long
0.447,0.912,11,-2.163,0,0.0615,0.00595,0.000423,0.189,0.216,111.137,audio_features,6Otf2csWGb04Dwj7Wn8U9m,spotify:track:6Otf2csWGb04Dwj7Wn8U9m,https://api.spotify.com/v1/tracks/6Otf2csWGb04Dwj7Wn8U9m,https://api.spotify.com/v1/audio-analysis/6Otf2csWGb04Dwj7Wn8U9m,266965,4,Nervous Habits (feat. Joey Fleming),"['GG Magree', 'Joey Fleming']",V,colab,Australia,2,English,R,-32.106275,141.3554875
0.751,0.632,0,-5.248,0,0.0815,0.683,1.16E-06,0.119,0.667,123.887,audio_features,4woupD6nz235hkCKdIkQJT,spotify:track:4woupD6nz235hkCKdIkQJT,https://api.spotify.com/v1/tracks/4woupD6nz235hkCKdIkQJT,https://api.spotify.com/v1/audio-analysis/4woupD6nz235hkCKdIkQJT,205161,4,Te Extraño,"['Ovi', 'Junior H']",M,colab,Cuba,2,Spanish,R,21.521757,-77.781167
0.604,0.661,0,-5.914,1,0.0375,0.234,0,0.0951,0.506,107.016,audio_features,4sJqSKPc5fZ5OZ8JiVI44N,spotify:track:4sJqSKPc5fZ5OZ8JiVI44N,https://api.spotify.com/v1/tracks/4sJqSKPc5fZ5OZ8JiVI44N,https://api.spotify.com/v1/audio-analysis/4sJqSKPc5fZ5OZ8JiVI44N,221440,4,Stranger Things (feat. OneRepublic),"['Kygo', 'OneRepublic']",M,colab,Norway,2,English,R,60.472,8.4689
0.625,0.707,2,-4.761,1,0.0337,0.22,0,0.213,0.479,138.064,audio_features,0Ev562zA4pmUsBqjxsxxdx,spotify:track:0Ev562zA4pmUsBqjxsxxdx,https://api.spotify.com/v1/tracks/0Ev562zA4pmUsBqjxsxxdx,https://api.spotify.com/v1/audio-analysis/0Ev562zA4pmUsBqjxsxxdx,248156,4,Feel Good (feat. Daya),"['Gryffin', 'ILLENIUM', 'Daya']",V,colab,United States,3,English,R,40,-100
0.273,0.565,2,-7.283,1,0.248,0.516,1.68E-06,0.0855,0.298,179.518,audio_features,2lTtnKQgjbrBA1qnOFhBkP,spotify:track:2lTtnKQgjbrBA1qnOFhBkP,https://api.spotify.com/v1/tracks/2lTtnKQgjbrBA1qnOFhBkP,https://api.spotify.com/v1/audio-analysis/2lTtnKQgjbrBA1qnOFhBkP,235226,4,affection,['BETWEEN FRIENDS'],V,band,United States,1,English,RF,40,-100
0.863,0.728,7,-2.954,1,0.0586,0.396,9.14E-06,0.0902,0.649,93.035,audio_features,7KKh0ujp8agIiCrkiJhf81,spotify:track:7KKh0ujp8agIiCrkiJhf81,https://api.spotify.com/v1/tracks/7KKh0ujp8agIiCrkiJhf81,https://api.spotify.com/v1/audio-analysis/7KKh0ujp8agIiCrkiJhf81,231745,4,Jangueo,"['Anuel AA', 'Tego Calderon']",M,colab,Puerto Rico,2,Spanish,R,18.220833,-66.590149
0.716,0.624,6,-5.398,0,0.0739,0.238,0,0.128,0.783,90.983,audio_features,7BEPdOI0neT6p7PnLViqmH,spotify:track:7BEPdOI0neT6p7PnLViqmH,https://api.spotify.com/v1/tracks/7BEPdOI0neT6p7PnLViqmH,https://api.spotify.com/v1/audio-analysis/7BEPdOI0neT6p7PnLViqmH,157081,4,Bajo La Mesa,"['Morat', 'Sebastian Yatra']",M,colab,Colombia,2,Spanish,R,4.5709,-74.2973
0.736,0.632,11,-4.939,0,0.0648,0.18,0,0.349,0.503,92.03,audio_features,7ndTONDDRFGiPnnhOzOXxq,spotify:track:7ndTONDDRFGiPnnhOzOXxq,https://api.spotify.com/v1/tracks/7ndTONDDRFGiPnnhOzOXxq,https://api.spotify.com/v1/audio-analysis/7ndTONDDRFGiPnnhOzOXxq,216107,4,La Nota,"['Manuel Turizo', 'Rauw Alejandro', 'Myke Towers']",M,colab,Colombia,3,Spanish,RF,4.5709,-74.2973
0.754,0.796,3,-3.743,0,0.139,0.062,8.60E-05,0.204,0.62,168.045,audio_features,2uu2aGqA2UblCg581Q7l1g,spotify:track:2uu2aGqA2UblCg581Q7l1g,https://api.spotify.com/v1/tracks/2uu2aGqA2UblCg581Q7l1g,https://api.spotify.com/v1/audio-analysis/2uu2aGqA2UblCg581Q7l1g,233160,4,Caramelo - Remix,"['Ozuna', 'KAROL G', 'Myke Towers']",V,colab,Puerto Rico,3,Spanish,RF,18.220833,-66.590149
0.797,0.843,1,-7.672,0,0.0442,0.00418,0.527,0.123,0.835,125.992,audio_features,61eyaitcIdl1jpnc6Kb8M3,spotify:track:61eyaitcIdl1jpnc6Kb8M3,https://api.spotify.com/v1/tracks/61eyaitcIdl1jpnc6Kb8M3,https://api.spotify.com/v1/audio-analysis/61eyaitcIdl1jpnc6Kb8M3,156210,4,Deep End,['John Summit'],M,solo,United States,1,English,R,40,-100
