danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist(s),gender(of the atrist(s)),"type(solo, colab, grpup/band)",country,number_integrants,song_language,label
0.851,0.393,11,-10.341,1,0.0499,0.179,0.0785,0.329,0.816,127.02,audio_features,27u3KzXKq5iAwC3X8rl8i1,spotify:track:27u3KzXKq5iAwC3X8rl8i1,https://api.spotify.com/v1/tracks/27u3KzXKq5iAwC3X8rl8i1,https://api.spotify.com/v1/audio-analysis/27u3KzXKq5iAwC3X8rl8i1,167302,4,Stone Cold,"['Deb Never', 'Kenny Beats']",V,colab,United States,2,English,F
0.638,0.688,1,-4.056,0,0.0407,0.00775,0,0.126,0.434,129.856,audio_features,4aNDd3VamyiQY9r3d33V69,spotify:track:4aNDd3VamyiQY9r3d33V69,https://api.spotify.com/v1/tracks/4aNDd3VamyiQY9r3d33V69,https://api.spotify.com/v1/audio-analysis/4aNDd3VamyiQY9r3d33V69,162399,4,Kings & Queens,['Ava Max'],F,solo,United States,1,English,FR
0.527,0.827,7,-6.083,1,0.0392,0.0817,0.00344,0.126,0.704,157.3,audio_features,2FLW1FnWZxGUuiDgsLDGOG,spotify:track:2FLW1FnWZxGUuiDgsLDGOG,https://api.spotify.com/v1/tracks/2FLW1FnWZxGUuiDgsLDGOG,https://api.spotify.com/v1/audio-analysis/2FLW1FnWZxGUuiDgsLDGOG,216960,4,Runner,['Tennis'],V,band,United States,1,English,F
0.572,0.519,2,-7.092,0,0.212,0.536,0,0.102,0.35,128.331,audio_features,48KXAIruJ07kJVCWOGohMV,spotify:track:48KXAIruJ07kJVCWOGohMV,https://api.spotify.com/v1/tracks/48KXAIruJ07kJVCWOGohMV,https://api.spotify.com/v1/audio-analysis/48KXAIruJ07kJVCWOGohMV,181860,4,P*$$Y Fairy (OTW),['JhenÃ© Aiko'],F,solo,United States,1,English,FR
0.775,0.627,1,-7.07,1,0.0323,0.183,0,0.0948,0.866,125.896,audio_features,39UXEKOYb2YXx3GgzQf7hs,spotify:track:39UXEKOYb2YXx3GgzQf7hs,https://api.spotify.com/v1/tracks/39UXEKOYb2YXx3GgzQf7hs,https://api.spotify.com/v1/audio-analysis/39UXEKOYb2YXx3GgzQf7hs,181053,4,Copy Paste,['Daniela Spalla'],F,solo,Argentina,1,English,F
0.519,0.94,3,-2.09,1,0.0648,0.000886,1.96E-06,0.1,0.597,128.025,audio_features,7sNcXwdbrtMfiYZPiQm2kf,spotify:track:7sNcXwdbrtMfiYZPiQm2kf,https://api.spotify.com/v1/tracks/7sNcXwdbrtMfiYZPiQm2kf,https://api.spotify.com/v1/audio-analysis/7sNcXwdbrtMfiYZPiQm2kf,246587,4,The Key to Life on Earth,['Declan McKenna'],M,solo,England,1,English,F
0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967,audio_features,3AzjcOeAmA57TIOr9zF1ZW,spotify:track:3AzjcOeAmA57TIOr9zF1ZW,https://api.spotify.com/v1/tracks/3AzjcOeAmA57TIOr9zF1ZW,https://api.spotify.com/v1/audio-analysis/3AzjcOeAmA57TIOr9zF1ZW,193829,4,Physical,['Dua Lipa'],F,solo,England,1,English,FR
0.651,0.761,9,-4.805,0,0.063,0.0659,0,0.148,0.433,89.024,audio_features,7jYZU1CIruZU3puB5tiYiW,spotify:track:7jYZU1CIruZU3puB5tiYiW,https://api.spotify.com/v1/tracks/7jYZU1CIruZU3puB5tiYiW,https://api.spotify.com/v1/audio-analysis/7jYZU1CIruZU3puB5tiYiW,186947,4,Sodio,['Danna Paola'],F,solo,Mexico,1,Spanish,FR
0.755,0.74,2,-8.551,1,0.037,0.00311,0.00584,0.098,0.152,120.026,audio_features,6nF1YfVKgEHFKAtmMqIjRF,spotify:track:6nF1YfVKgEHFKAtmMqIjRF,https://api.spotify.com/v1/tracks/6nF1YfVKgEHFKAtmMqIjRF,https://api.spotify.com/v1/audio-analysis/6nF1YfVKgEHFKAtmMqIjRF,268387,4,La vita nuova,"['Christine and the Queens', 'Caroline Polachek']",F,colab,France,2,English-Italian,F
0.816,0.524,7,-6.465,1,0.053,0.0513,0.122,0.0903,0.386,119.994,audio_features,12yGUMrIFfFg4zZ240IKtF,spotify:track:12yGUMrIFfFg4zZ240IKtF,https://api.spotify.com/v1/tracks/12yGUMrIFfFg4zZ240IKtF,https://api.spotify.com/v1/audio-analysis/12yGUMrIFfFg4zZ240IKtF,235011,4,Je disparais dans tes bras,['Christine and the Queens'],F,solo,France,1,French,F
0.472,0.333,7,-8.121,1,0.0274,0.379,0.0075,0.261,0.141,159.986,audio_features,2HiionQ4vRsBnBP8bV18Cm,spotify:track:2HiionQ4vRsBnBP8bV18Cm,https://api.spotify.com/v1/tracks/2HiionQ4vRsBnBP8bV18Cm,https://api.spotify.com/v1/audio-analysis/2HiionQ4vRsBnBP8bV18Cm,273068,4,Eso Que Tu Haces,['Lido Pimienta'],F,solo,Colombia,1,Spanish,F
0.595,0.86,9,-1.655,0,0.0375,0.0177,0.0215,0.363,0.229,152.11,audio_features,6NBIVEBrIcrxI9SMfSPNHl,spotify:track:6NBIVEBrIcrxI9SMfSPNHl,https://api.spotify.com/v1/tracks/6NBIVEBrIcrxI9SMfSPNHl,https://api.spotify.com/v1/audio-analysis/6NBIVEBrIcrxI9SMfSPNHl,139473,4,Pink Dust,['A.CHAL'],M,solo,Peru,1,English,FR
0.742,0.621,2,-5.679,1,0.0998,0.323,0.0113,0.088,0.278,194.051,audio_features,7paqbTLYVmmUQoH0up0VUM,spotify:track:7paqbTLYVmmUQoH0up0VUM,https://api.spotify.com/v1/tracks/7paqbTLYVmmUQoH0up0VUM,https://api.spotify.com/v1/audio-analysis/7paqbTLYVmmUQoH0up0VUM,176347,4,Flotando (Remix),"['Gianluca', 'Princesa Alba']",V,colab,Chile,2,Spanish,FR
0.632,0.378,1,-9.096,0,0.0362,0.257,0.000104,0.143,0.223,77.98,audio_features,5stdNNY7SUv12p5sLkaBlL,spotify:track:5stdNNY7SUv12p5sLkaBlL,https://api.spotify.com/v1/tracks/5stdNNY7SUv12p5sLkaBlL,https://api.spotify.com/v1/audio-analysis/5stdNNY7SUv12p5sLkaBlL,260877,4,"People, I've been sad",['Christine and the Queens'],F,solo,France,1,English,F
0.656,0.695,5,-5.378,1,0.114,0.13,0,0.292,0.653,107.021,audio_features,1xnUqreX9IFFBBpFfI6OBy,spotify:track:1xnUqreX9IFFBBpFfI6OBy,https://api.spotify.com/v1/tracks/1xnUqreX9IFFBBpFfI6OBy,https://api.spotify.com/v1/audio-analysis/1xnUqreX9IFFBBpFfI6OBy,182813,4,makeup drawer,['Isaac Dunbar'],M,solo,United States,1,English,FR
0.766,0.512,0,-10.271,1,0.0296,0.127,0.000147,0.0868,0.862,94.998,audio_features,7AcqRX9mjXSimLy4E4VTC3,spotify:track:7AcqRX9mjXSimLy4E4VTC3,https://api.spotify.com/v1/tracks/7AcqRX9mjXSimLy4E4VTC3,https://api.spotify.com/v1/audio-analysis/7AcqRX9mjXSimLy4E4VTC3,265895,4,Restless - Kraak & Smaak Remix,"['Miami Horror', 'Kraak & Smaak']",M,band-colab,United States,2,English,FR
0.676,0.815,8,-4.294,1,0.0625,0.00146,0.00041,0.275,0.796,117.973,audio_features,2kJu14V7hbZw3I4K8L8SXb,spotify:track:2kJu14V7hbZw3I4K8L8SXb,https://api.spotify.com/v1/tracks/2kJu14V7hbZw3I4K8L8SXb,https://api.spotify.com/v1/audio-analysis/2kJu14V7hbZw3I4K8L8SXb,193531,4,Stupid Love,['Lady Gaga'],F,solo,United States,1,English,FR
0.423,0.36,9,-9.97,1,0.0284,0.782,0.0032,0.0811,0.258,145.744,audio_features,4Quej1XuIGPLXvGWg4QA5J,spotify:track:4Quej1XuIGPLXvGWg4QA5J,https://api.spotify.com/v1/tracks/4Quej1XuIGPLXvGWg4QA5J,https://api.spotify.com/v1/audio-analysis/4Quej1XuIGPLXvGWg4QA5J,252717,4,Exist for Love,['AURORA'],F,solo,Norway,1,English,F
0.663,0.598,11,-4.042,1,0.17,0.193,8.02E-05,0.0856,0.4,172.245,audio_features,380HmhwTE2NJgawn1NwkXi,spotify:track:380HmhwTE2NJgawn1NwkXi,https://api.spotify.com/v1/tracks/380HmhwTE2NJgawn1NwkXi,https://api.spotify.com/v1/audio-analysis/380HmhwTE2NJgawn1NwkXi,150720,4,Rojo,['J Balvin'],M,solo,Colombia,1,Spanish,FR
0.629,0.828,2,-4.766,1,0.173,0.0249,0.000221,0.206,0.512,120.018,audio_features,31k41EAntOsjbRBcAASfiL,spotify:track:31k41EAntOsjbRBcAASfiL,https://api.spotify.com/v1/tracks/31k41EAntOsjbRBcAASfiL,https://api.spotify.com/v1/audio-analysis/31k41EAntOsjbRBcAASfiL,191809,4,Malibu,['Kim Petras'],F,solo,Germany,1,English,F
0.621,0.461,0,-13.047,0,0.0735,0.715,0.00111,0.0929,0.122,88.034,audio_features,5Dx8iEsMuNrf7aF9TMV0Xe,spotify:track:5Dx8iEsMuNrf7aF9TMV0Xe,https://api.spotify.com/v1/tracks/5Dx8iEsMuNrf7aF9TMV0Xe,https://api.spotify.com/v1/audio-analysis/5Dx8iEsMuNrf7aF9TMV0Xe,159400,4,i want war (BUT I NEED PEACE),['Kali Uchis'],F,solo,Colombia,1,English,FR
0.558,0.364,5,-8.663,1,0.0502,0.169,9.94E-05,0.109,0.252,129.17,audio_features,034KyQEk7IhbLtniVhBErj,spotify:track:034KyQEk7IhbLtniVhBErj,https://api.spotify.com/v1/tracks/034KyQEk7IhbLtniVhBErj,https://api.spotify.com/v1/audio-analysis/034KyQEk7IhbLtniVhBErj,160737,4,17,['Pink Sweat$'],M,solo,United States,1,English,F
0.885,0.68,11,-3.837,0,0.0848,0.131,1.77E-05,0.0875,0.78,97.003,audio_features,35KmOEIUqAGn02t7n4qaIr,spotify:track:35KmOEIUqAGn02t7n4qaIr,https://api.spotify.com/v1/tracks/35KmOEIUqAGn02t7n4qaIr,https://api.spotify.com/v1/audio-analysis/35KmOEIUqAGn02t7n4qaIr,200267,4,Morado,['J Balvin'],M,solo,Colombia,1,Spanish,FR
0.645,0.495,11,-6.77,0,0.107,0.845,0.000534,0.333,0.627,81.852,audio_features,3ZwQCZ2LuYwuQ6R1p1CJ3w,spotify:track:3ZwQCZ2LuYwuQ6R1p1CJ3w,https://api.spotify.com/v1/tracks/3ZwQCZ2LuYwuQ6R1p1CJ3w,https://api.spotify.com/v1/audio-analysis/3ZwQCZ2LuYwuQ6R1p1CJ3w,170075,4,Juro Que,['ROSALÃA'],F,solo,Spain,1,Spanish,F
0.577,0.848,7,-4.309,1,0.179,0.178,0,0.224,0.459,135.525,audio_features,659KHgcyH45sZVD2EGmHsH,spotify:track:659KHgcyH45sZVD2EGmHsH,https://api.spotify.com/v1/tracks/659KHgcyH45sZVD2EGmHsH,https://api.spotify.com/v1/audio-analysis/659KHgcyH45sZVD2EGmHsH,190947,4,Una Noche,"['Cesxr', 'Cuis Lerda']",M,colab,Mexico,2,Spanish,F
0.814,0.332,6,-8.662,1,0.0728,0.216,0,0.103,0.593,138.021,audio_features,7jmGlGxGzIELtjfDDHk5Iy,spotify:track:7jmGlGxGzIELtjfDDHk5Iy,https://api.spotify.com/v1/tracks/7jmGlGxGzIELtjfDDHk5Iy,https://api.spotify.com/v1/audio-analysis/7jmGlGxGzIELtjfDDHk5Iy,201739,4,QuiÃ©n,['AQUIHAYAQUIHAY'],M,band,Mexico,1,Spanish,FR
0.911,0.637,8,-8.381,1,0.447,0.0409,3.68E-05,0.238,0.66,149.996,audio_features,75dLEqanQTupF3dtP9exT5,spotify:track:75dLEqanQTupF3dtP9exT5,https://api.spotify.com/v1/tracks/75dLEqanQTupF3dtP9exT5,https://api.spotify.com/v1/audio-analysis/75dLEqanQTupF3dtP9exT5,156882,4,Yikes,['Nicki Minaj'],F,solo,United States,1,English,FR
